,name,lat1,lat2,lon1,lon2,Number_of_shop,ratingMean,Number_of_rating_Mean,Number_of_busStop,Number_of_Mtr,Number_of_competitor,district,predicted_sales,has_shop,rent,disposal,cost_per_grid
134,009-015,22.3815796,22.4056818,114.28470606666669,114.316471,0,,,17,0,0,,4.126659159511345,0,0.3301327327609076,0.0,0.3301327327609076
135,010-001,22.4056818,22.429784,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
136,010-002,22.4056818,22.429784,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
137,010-003,22.4056818,22.429784,113.90352686666668,113.9352918,0,,,1,0,0,,0.2427446564418438,0,0.019419572515347504,0.0,0.019419572515347504
138,010-004,22.4056818,22.429784,113.9352918,113.96705673333334,0,,,6,0,3,,1.4650520907557192,0,0.11720416726045754,0.0,0.11720416726045754
139,010-005,22.4056818,22.429784,113.96705673333334,113.99882166666669,0,,,48,1,9,,10.426900267324797,0,0.8341520213859838,0.0,0.8341520213859838
140,010-006,22.4056818,22.429784,113.99882166666669,114.0305866,0,,,11,0,0,,2.6701912208602816,0,0.21361529766882253,0.0,0.21361529766882253
141,010-007,22.4056818,22.429784,114.0305866,114.06235153333334,0,,,7,0,0,Yuen Long District,1.6992125950929065,0,0.13593700760743252,0.0,0.13593700760743252
142,010-008,22.4056818,22.429784,114.06235153333334,114.09411646666666,0,,,26,0,0,,6.311361067487939,0,0.5049088853990351,0.0,0.5049088853990351
143,010-009,22.4056818,22.429784,114.09411646666666,114.1258814,0,,,9,0,0,,2.184701907976594,0,0.1747761526381275,0.0,0.1747761526381275
144,010-010,22.4056818,22.429784,114.1258814,114.15764633333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
145,010-011,22.4056818,22.429784,114.15764633333332,114.18941126666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
146,010-012,22.4056818,22.429784,114.18941126666668,114.2211762,0,,,31,1,1,,6.2773500355343685,0,0.5021880028427494,0.0,0.5021880028427494
147,010-013,22.4056818,22.429784,114.2211762,114.25294113333334,1,3.3,72.0,46,4,15,,6.206792164057401,1,0.49654337312459207,12.611537753638338,13.10808112676293
